"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit"
"com.mitchellbosecke.benchmark.Freemarker.benchmark","thrpt",1,50,"26469,489378","186,815778","ops/s"
"com.mitchellbosecke.benchmark.Handlebars.benchmark","thrpt",1,50,"26244,523363","256,555335","ops/s"
"com.mitchellbosecke.benchmark.Jte.benchmark","thrpt",1,50,"147508,756676","1164,681740","ops/s"
"com.mitchellbosecke.benchmark.Mustache.benchmark","thrpt",1,50,"29127,150903","151,575554","ops/s"
"com.mitchellbosecke.benchmark.Pebble.benchmark","thrpt",1,50,"35987,081216","438,402770","ops/s"
"com.mitchellbosecke.benchmark.Rocker.benchmark","thrpt",1,50,"89330,892457","504,367427","ops/s"
"com.mitchellbosecke.benchmark.RockerRuntime.benchmark","thrpt",1,50,"79578,350059","1073,702516","ops/s"
"com.mitchellbosecke.benchmark.Thymeleaf.benchmark","thrpt",1,50,"6724,833569","35,034044","ops/s"
"com.mitchellbosecke.benchmark.Trimou.benchmark","thrpt",1,50,"33171,291742","577,274560","ops/s"
"com.mitchellbosecke.benchmark.Velocity.benchmark","thrpt",1,50,"28527,577287","298,938556","ops/s"
"com.mitchellbosecke.benchmark.Xsl.benchmark","thrpt",1,50,"5415,397593","27,587550","ops/s"
